"DOMAIN","TITLE","",""
"MATHS","A circular pond has an area of 144π square meters. A walking path of uniform width surrounds the pond, making the total area of the pond and the path400π square meters. Find the width of the walking path.","",""
"INFO","Difference between front-end development and back-end development","",""
"MATHS","Prove that the square of any odd integer is also odd","",""
"MATHS","Find the perimeter of a regular hexagon with a side length of 4 units.","",""
"INFO","What are the risks of untreated sleep apnea?","",""
"INFO","What is the role of DNA in genetics","",""
"INFO","Who is Arvind Kejriwal?","",""
"IMAGE","A graceful mermaid swimming in the sea.","",""
"IMAGE","A charming village nestled in the shadow of towering mountains.","",""
"MATHS","Define the concept of a set equivalence relation and provide an example.","",""
"MATHS","volume of a cube","",""
"INFO","What are the best budget-friendly streaming devices?","",""
"IMAGE","Minimalist architecture emphasizes simplicity and clean lines, often with an emphasis on open spaces and natural light.","",""
"INFO","What are the most popular tourist attractions in New York City?","",""
"IMAGE","A bustling market square with vendors selling fresh produce and handmade crafts.","",""
"IMAGE","A slice of warm apple pie topped with a scoop of vanilla ice cream and a sprinkle of cinnamon.","",""
"MATHS","Find the sum of the first n terms of the series","",""
"MATHS","Sketch the graph of a parametric equation","",""
"INFO","What are some common ingredients used in Moroccan tagines?","",""
"INFO","Which movie marked the Bollywood debut of Sara Ali Khan?","",""
"INFO","What is the difference between a first language and a second language","",""
"INFO","What causes hiccups?","",""
"IMAGE","A man playing guitar by a campfire.","",""
"MATHS","How many sides does a triangle have?","",""
"MATHS","Solve for x: |2x - 3| = 7.","",""
"MATHS","direction of a vector","",""
"MATHS","The diagonal of a rectangle is 17 units, and its area is 60 square units. Find the length and width of the rectangle.","",""
"INFO","How to make a DIY dreamcatcher?","",""
"MATHS","The ages of five students are 10, 11, 10, 12, and 9. What is their mean age?","",""
"IMAGE","A tranquil river winding its way through a lush green valley.","",""
"INFO","How do you delete a slide in PowerPoint","",""
"INFO","What is the name of the largest ocean on Earth?","",""
"IMAGE","Embroidered velvet shawls adding warmth and style to winter outfits.","",""
"INFO","What are the advantages of homeschooling?","",""
"MATHS","A bag contains 8 white balls and 4 black balls. If two balls are drawn at random without replacement and both are white, what is the probability that the next ball drawn is black?","",""
"INFO","Key differences between various political ideologies","",""
"IMAGE","Neoclassical architecture draws inspiration from ancient Greek and Roman design.","",""
"INFO","What are the benefits of teaching conflict resolution skills in schools?","",""
"MATHS","The hypotenuse of a right triangle is 10 units long. If one leg measures 6 units, what is the length of the other leg?","",""
"INFO","What is the difference between a traditional camera and a smartphone camera?","",""
"IMAGE","A mouthwatering cheeseburger stacked high with juicy beef patties, melted cheese, crispy bacon, and tangy pickles.","",""
"IMAGE","A couple taking a leisurely stroll through a flower garden.","",""
"INFO","How do I manage my time effectively as a student?","",""
"INFO","How does wireless charging work","",""
"MATHS","If the lifetimes of batteries produced by a company follow a normal distribution with a mean of 5 years and a standard deviation of 0.5 years, what is the probability that a randomly selected battery lasts between 4.5 and 5.5 years?","",""
"MATHS","Describe the composition of two translations on a shape.","",""
"IMAGE","Elegant Anarkali suits featuring delicate embellishments.","",""
"INFO","How are stars born and die","",""
"INFO","Can you explain the difference between Italian pasta and Asian noodles?","",""
"INFO","How does facial recognition technology impact privacy rights?","",""
"INFO","How to create a DIY scrapbook?","",""
"INFO","What is the chemical formula for sulfur dioxide?","",""
"MATHS","Calculate the distance between two points in a coordinate plane.","",""
"INFO","What is the age of Rahul Gandhi?","",""
"INFO","What is the chemical formula for sodium chloride?","",""
"MATHS","Explain the concept of graph automorphism.","",""
"IMAGE","A historic clock tower stands tall, its ornate facade a reminder of a bygone era.","",""
"MATHS","Calculate the missing value in a proportion.","",""
"IMAGE","Echoes of solitude in the depths of introspection.","",""
"IMAGE","A shy deer cautiously approaching a clearing in the woods.","",""
"INFO","What is the difference between a language and a dialect","",""
"IMAGE","A couple having a romantic gondola ride through the canals of Venice.","",""
"INFO","What were the major trade routes connecting India to other parts of the world in ancient times?","",""
"IMAGE","A cascading waterfall tumbles down moss-covered rocks.","",""
"INFO","What are the benefits of bilingual education?","",""
"IMAGE","A woman shopping for fresh produce at a farmer's market.","",""
"INFO","How to protect investments from currency fluctuations?","",""
"INFO","What is the chemical formula for potassium nitrate?","",""
"INFO","What is the best diet for weight loss?","",""
"IMAGE","A family of ducks waddling across a pond in the park.","",""
"IMAGE","Palladian architecture follows the principles of Venetian architect Andrea Palladio.","",""
"MATHS","A box contains 4 red balls, 3 green balls, and 5 blue balls. If three balls are drawn at random without replacement, what is the probability of drawing one ball of each color?","",""
"INFO","What caused the collapse of the Soviet Union in 1991?","",""
"INFO","How is the entertainment industry adapting to streaming services?","",""
"MATHS","Write the equation of a line given its slope and y-intercept.","",""
"IMAGE","A student attending a seminar on time management and productivity.","",""
"INFO","Who invented the first practical phonograph?","",""
"MATHS","Convert 0.333... to a fraction.","",""
"INFO","What are some common interview questions","",""
"IMAGE","A bustling food market is a culinary adventure, with stalls selling delicacies from every corner of the globe.","",""
"IMAGE","A vibrant city square filled with street performers and bustling cafes.","",""
"MATHS","What is 3/4 of $120?","",""
"INFO","What are some notable novels by Arundhati Roy?","",""
"IMAGE","Revivalist architecture seeks to revive and reinterpret historical styles for contemporary contexts.","",""
"INFO","Some unique project ideas for computer science students","",""
"IMAGE","A majestic waterfall cascading down moss-covered rocks into a crystal-clear pool below.","",""
"IMAGE","A cozy mountain cabin nestled in a snowy pine forest.","",""
"INFO","What are the consequences of income inequality?","",""
"MATHS","the probability of the intersection of two events ","",""
"MATHS","A rectangular garden is to be fenced off with 120 meters of fencing. Find the dimensions of the garden that maximize its area.","",""
"MATHS","What is a cycle in a graph?","",""
"INFO","What are the latest developments in space exploration technology?","",""
"IMAGE","Rare albino squirrel spotted in city park","",""
"IMAGE","A planet covered in bioluminescent flora.","",""
"INFO","What is the SI unit of electric capacitance?","",""
"INFO","How are cultural norms changing in the digital age?","",""
"INFO","What's the latest gossip from the red carpet events?","",""
"MATHS","A population of rabbits is subject to predation by foxes. Write down the differential equations for the populations of rabbits and foxes, considering the interaction between the two species.","",""
"IMAGE","A mysterious shadow creature lurking in the darkness of an abandoned castle.","",""
"MATHS","A cable company wants to lay cable along a road and across a river. What path should the cable take to minimize the total length of cable used?","",""
"MATHS","Draw the graph of a piecewise function","",""
"INFO","Who is Sonia Gandhi?","",""
"INFO","Who is credited with inventing the assembly line?","",""
"IMAGE","A peaceful countryside scene with a rustic farmhouse nestled among trees.","",""
"MATHS","Determine if the matrix [[1, 2], [3, 4]] is invertible.","",""
"INFO","How are cities addressing transportation challenges?","",""
"MATHS","Calculate the area of a triangle with base 8 units and height 6 units.","",""
"INFO","How does facial recognition technology identify individuals?","",""
"MATHS","Prove that there are infinitely many prime numbers.","",""
"IMAGE","A rocky shoreline is pounded by crashing waves.","",""
"IMAGE","A playful chimpanzee swings through the trees, its nimble fingers grasping branches with ease.","",""
"IMAGE","A sun-kissed savannah teeming with grazing wildlife and acacia trees.","",""
"IMAGE","A regal unicorn with a flowing mane and shimmering horn.","",""
"IMAGE","The Basilica of Our Lady of Good Health in Velankanni, Tamil Nadu, is a pilgrimage site known for its Gothic-style architecture.","",""
"IMAGE","A cityscape on the edge of a black hole.","",""
"INFO","What are the steps to take after receiving an inheritance?","",""
"INFO","What were the consequences of the Cultural Revolution in China?","",""
"IMAGE","A curious squirrel scampers up a tree, its bushy tail twitching with excitement as it searches for nuts.","",""
"INFO","What are the benefits of dollar-cost averaging?","",""
"MATHS","Final velocity","",""
"INFO","How did the invention of the printing press impact European society?","",""
"MATHS","What is 25% of  3/8 ?","",""
"INFO","What are some common mistakes job seekers make in their resumes","",""
"IMAGE","Whispers of wisdom carried on the currents of consciousness.","",""
"INFO","What was the first Bollywood movie for which Arijit Singh sang?","",""
"IMAGE","A plate of savory spanakopita filled with spinach and feta cheese wrapped in flaky phyllo dough.","",""
"MATHS","Find the image of a vector under a given linear transformation.","",""
"IMAGE","A regal unicorn with a flowing mane and shimmering horn.","",""
"INFO","What are the implications of the rise of digital currencies?","",""
"IMAGE","Friends having a game night with board games and card games.","",""
"IMAGE","A mist-covered mountain peak rising majestically above the clouds.","",""
"INFO","How to treat a cold sore?","",""
"IMAGE","Street artist creates 3D pavement art that tricks the eye","",""
"INFO","How do I find authentic local experiences while traveling?","",""
"MATHS","Express 0.625 as a fraction in simplest form.","",""
"INFO","What are the latest developments in renewable energy storage technologies?","",""
"IMAGE","A majestic city hall is a beacon of governance, its domed roof and grand columns inspiring awe.","",""
"IMAGE","Library cat elected mayor of small town","",""
"INFO","How to protect investments from geopolitical risks?","",""
"IMAGE","A platter of Mediterranean mezze including hummus, tabbouleh, and stuffed grape leaves.","",""
"MATHS","limits","",""
"IMAGE","A bowl of creamy tomato soup garnished with a swirl of sour cream and fresh herbs.","",""
"IMAGE","Modernist architecture emphasizes simplicity and functionality.","",""
"INFO","How do self-driving cars navigate?","",""
"IMAGE","A serene beach with white sand and crystal-clear water.","",""
"IMAGE","A picturesque vineyard with rows of grapevines stretching into the distance.","",""
"INFO","What is the main function of the digestive system?","",""
"INFO","What is the best way to save for retirement?","",""
"INFO","What role did Henry Ford play in the invention of the automobile?","",""
"MATHS","If a car travels at an average speed of 50 miles per hour, how long will it take to travel 250 miles?","",""
"MATHS","Time domain","",""
"IMAGE","A panoramic view of a city skyline from a rooftop.","",""
"IMAGE","Stylish block-printed kurtas and tunics for a boho-chic vibe.","",""
"INFO","What is dark matter","",""
"MATHS","Find the area of a square with a diagonal of 8 units.","",""
"INFO","What is the latest iPhone model?","",""
"INFO","What are slides in PowerPoint","",""
"MATHS","Find the length of an unknown side in a right triangle","",""
"INFO","Who is Devendra Fadnavis?","",""
"MATHS","Describe the principle of inclusion-exclusion in set theory.","",""
"MATHS","In how many ways can you arrange the letters in the word ""COMBINATIONS""?","",""
"IMAGE","Children having a talent show and showcasing their skills.","",""
"INFO","How does Korean barbecue differ from other barbecue styles?","",""
"MATHS","What is an edge in a graph?","",""
"IMAGE","A mist-covered mountain peak rising above the clouds.","",""
"INFO","Main causes of World War 2","",""
"MATHS","What is the perimeter of a square with a side length of 5 units?","",""
"IMAGE","Snow-covered trees create a winter wonderland.","",""
"MATHS","Is 5184 divisible by 3, 9, and 12?","",""
"INFO","What are the challenges of achieving universal access to clean water?","",""
"INFO","What are the risks of investing in leveraged ETFs?","",""
"IMAGE","Ahmedabad's Adalaj Stepwell is adorned with intricate carvings and sculptures.","",""
"INFO","Who invented the first practical sewing machine?","",""
"IMAGE","A picturesque seaside town with colorful houses and a bustling harbor.","",""
"IMAGE","A curious squirrel scampers up a tree, its bushy tail twitching with excitement as it searches for nuts.","",""
"INFO","What are the traditions associated with Onam, and how is it celebrated in Kerala?","",""
"INFO","What are the best travel destinations for river cruises?","",""
"IMAGE","Byzantine architecture is characterized by domes, mosaics, and intricate ornamentation.","",""
"INFO","How does wireless HDMI technology work?","",""
"INFO","What is the chemical formula for sodium hydroxide?","",""
"INFO","How to tie-dye a t-shirt?","",""
"INFO","Which artists are dominating the charts with their latest singles?","",""
"INFO","How to make homemade ice cream?","",""
"INFO","What is the full form of NASA","",""
"MATHS","A spring-mass system is subject to damping proportional to its velocity. Write a differential equation to model the system's motion.","",""
"IMAGE","Chateauesque architecture is inspired by French Renaissance chateaus, with steeply pitched roofs and turrets.","",""
"IMAGE","Spark of creativity igniting the soul.","",""
"IMAGE","The Taj Mahal stands as a timeless symbol of Mughal architecture.","",""
"IMAGE","The Amer Fort in Jaipur is a majestic hilltop fortress with intricate marble and mirror work.","",""
"INFO","What's your favorite song from the latest album by your favorite artist?","",""
"IMAGE","A cozy fireplace with crackling logs and flickering flames.","",""
"INFO","How do I travel sustainably?","",""
"IMAGE","A child blowing out candles on a birthday cake.","",""
"IMAGE","A frozen landscape covered in sparkling icicles and snowflakes.","",""
"INFO","Recommend a good vacation destination","",""
"IMAGE","Symphony of thoughts in the depths of contemplation.","",""
"INFO","How to sew on a button?","",""
"MATHS","Verify the validity of the statement ""If n is an even integer, then n + 1 is odd.""","",""
"MATHS","Simplify: 3(4+2)−5.","",""
"INFO","How to create a homemade journal?","",""
"MATHS","A rectangular box with an open top is to be constructed from 48 square meters of material. What dimensions will maximize the volume?","",""
"MATHS","electric current","",""
"MATHS","The perimeter of a sector of a circle is 24 cm, and the radius is 6 cm. Find the area of the sector.","",""
"MATHS","Determine the stability of equilibrium points","",""
"IMAGE","A playful impish grin and mischief in its eyes.","",""
"INFO","How do fitness apps track distance?","",""
"INFO","Who is the author of ""Train to Pakistan""?","",""
"IMAGE","A regal peacock displaying its vibrant plumage.","",""
"INFO","What is the main function of the immune system?","",""
"IMAGE","A couple having a romantic dinner cruise.","",""
"IMAGE","The Jantar Mantar in Jaipur is an astronomical observatory built by Maharaja Jai Singh II, featuring unique geometric structures.","",""
"INFO","What are the benefits of extracurricular activities for students?","",""
"INFO","How do wireless charging pads work?","",""
"IMAGE","A juicy watermelon salad tossed with feta cheese, mint leaves, and a drizzle of balsamic glaze.","",""
"MATHS","Calculate the area of a circle inscribed in a square with a side length of 10 units.","",""
"INFO","How to boost testosterone levels naturally?","",""
"IMAGE","A couple going on a helicopter tour over a city skyline.","",""
"INFO","How does telecommunication technology work","",""
"INFO","How many Paralympic medals has Devendra Jhajharia won in javelin throw?","",""
"IMAGE","Fragments of truth hidden in the depths of illusion.","",""
"INFO","What are the benefits of early childhood education?","",""
"INFO","What are the latest advancements in smartphone technology?","",""
"IMAGE","Children having a dance party with music and costumes.","",""
"INFO","What are the best resources for learning coding?","",""
"IMAGE","A couple dancing under the stars at a beach bonfire.","",""
"MATHS","a/b","",""
"INFO","What is the World Wide Web","",""
"INFO","How to make a tie-dye tapestry?","",""
"INFO","How to bake a loaf of sourdough bread?","",""
"INFO","Can you suggest some self-care activities for stress-relief","",""
"MATHS","Displacement","",""
"INFO","What is the process by which organisms produce offspring called?","",""
"INFO","How are companies addressing diversity and inclusion in the workplace?","",""
"INFO","What is the chemical formula for ammonia?","",""
"INFO","In which year did Titanic sink","",""
"MATHS","Define a matching in a graph.","",""
"INFO","What are the risks of investing in high-yield bonds?","",""
"MATHS","What is the next term in the sequence: 2, 4, 6, 8, ...?","",""
"MATHS","Show that the statement ""If n is a positive integer, then n² + n is always even"" is true.","",""
"MATHS","determine if a set of vectors forms a subspace","",""
"INFO","What triggered the French Revolution?","",""
"MATHS","P(A)","",""
"INFO","How do airplanes communicate with air traffic control","",""
"INFO","How to install a programmable thermostat?","",""
"INFO","What are the festivities of Karva Chauth and its significance in Indian culture?","",""
"IMAGE","A cozy bookstore with shelves filled with old books and comfortable chairs.","",""
"INFO","Who is Pinarayi Vijayan?","",""
"IMAGE","A serene forest glade with a babbling brook and chirping birds.","",""
"INFO","What are the top tourist attractions in Tokyo?","",""
"IMAGE","Dapper Nehru jackets paired with crisp shirts and trousers.","",""
"INFO","What were the major contributions of Indian art and architecture to world heritage?","",""
"MATHS","subtract a smaller number from a larger number","",""
"IMAGE","Friends having a barbecue cook-off and tasting each other's dishes","",""
"INFO","How do I prepare for a job interview","",""
"INFO","What are the benefits of drinking green tea?","",""
"MATHS","State the properties of vector addition.","",""
"IMAGE","Chic embroidered potli bags for a touch of ethnic charm.","",""
"MATHS","Use truth tables to show the validity of the statement ""P ∧ (Q ∨ R) = (P ∧ Q) ∨ (P ∧ R).""","",""
"IMAGE","A sizzling platter of fajitas with strips of seasoned steak, bell peppers, and onions.","",""
"IMAGE","Georgian architecture is marked by symmetrical facades and classical proportions.","",""
"MATHS","Green's Function","",""
"INFO","What is a 401(k) and how does it work?","",""
"INFO","What are the risks of obesity?","",""
"MATHS","Laplace domain frequency response","",""
"IMAGE","A pair of lovebirds grooming each other's feathers","",""
"MATHS","If you roll three fair six-sided dice, what is the probability of rolling a sum greater than 15?","",""
"MATHS","Find the matrix of a linear transformation with respect to a given eigenbasis.","",""
"INFO","How to prevent kidney stones?","",""
"MATHS","Describe the concept of temperature ","",""
"INFO","Please provide a definition for the medical term ","",""
"MATHS","List all the prime numbers between","",""
"MATHS","What is a clique in a graph?","",""
"MATHS","How much is 2 × 6?","",""
"INFO","How do magnets work","",""
"MATHS","Determine whether the statement ""Every prime number greater than 2 is odd"" is true or false.","",""
"IMAGE","A graceful sylph flitting through the air with delicate butterfly wings.","",""
"INFO","Who wrote ""The Namesake""?","",""
"INFO","What are the steps to buying a home?","",""
"IMAGE","Reverberations of joy in the heart's melody.","",""
"MATHS","Find the matrix of a given linear transformation with respect to a given basis.","",""
"INFO","What are some notable works by Kiran Desai?","",""
"INFO","Can you explain the concept of wormhole","",""
"INFO","Which musicians are experimenting with new genres or sounds?","",""
"MATHS","Explain linear independence of vectors.","",""
"INFO","What is the significance of the Indus Valley Civilization in Indian history?","",""
"INFO","How does machine translation work","",""
"IMAGE","A colony ship drifting through the vastness of space.","",""
"INFO","What are the best travel destinations for cherry blossom viewing?","",""
"INFO","Give me the difference between","",""
"IMAGE","A peaceful mountain valley is bathed in soft morning light.","",""
"INFO","Who is Jyotiraditya Scindia?","",""
"MATHS","If a bookshelf has 6 shelves, each containing 18 books, how many books are there in total?","",""
"MATHS","Given a right triangle with an angle of 30 degrees and a hypotenuse of length 10 units, find the length of the opposite side.","",""
"INFO","What is the process by which an organism's genetic makeup is altered called?","",""
"INFO","How do I find authentic local cuisine while traveling?","",""
"MATHS","Solve second-order ordinary differential equations ","",""
"IMAGE","A misty morning blankets a tranquil forest.","",""
"INFO","How are governments addressing cybersecurity threats to critical infrastructure?","",""
"MATHS","How many different 8-letter arrangements can be made using the letters of the word ""MATHEMATICS""?","",""
"INFO","What are the best resources for teaching physical education?","",""
"INFO","How to protect investments during economic downturns?","",""
"MATHS","A rectangular box has dimensions 10 cm x 8 cm x 6 cm. What is its volume?","",""
"INFO","How to relieve joint pain?","",""
"MATHS","Harmonic analysis","",""
"IMAGE","Intricate carvings adorn the walls of ancient Indian temples.","",""
"IMAGE","A cybernetic detective solving crimes in a futuristic city.","",""
"MATHS","union","",""
"INFO","What are the latest advancements in artificial intelligence (AI)?","",""
"MATHS","What is the mode of the numbers 1, 2, 3, 4, 4, 5, 5, 6, 6, 7?","",""
"MATHS","What is the product of  12×0.5?","",""
"INFO","What are the signs of dehydration?","",""
"MATHS","A rectangular garden has a fixed perimeter. What shape will maximize its area?","",""
"INFO","What is the significance of the expression","",""
"MATHS","If a shape is translated 5 units to the right and 3 units down, what are the coordinates of its new vertices?","",""
"INFO","How to treat a sprained ankle?","",""
"MATHS","Amplitude","",""
"MATHS","Identify the shape that is congruent to a square.","",""
"INFO","Which comedy acts or stand-up specials are coming to town?","",""
"IMAGE","A couple taking a cooking class and learning to make pasta from scratch.","",""
"MATHS","If a pizza is cut into 8 equal slices and 3 slices are eaten, what fraction of the pizza remains?","",""
"INFO","How do clouds form","",""
"INFO","How to paint with watercolors?","",""
"MATHS","A population of fish in a lake is being harvested at a constant rate. Write down the differential equation governing the population dynamics, considering both growth and harvesting.","",""
"INFO","What are irregular verbs","",""
"IMAGE","A utopian society ruled by benevolent AI.","",""
"INFO","What are the best travel destinations for food lovers?","",""
"INFO","What are the signs of an allergic reaction?","",""
"INFO","What was the significance of the invention of the internal combustion engine?","",""
"INFO","Are there any gaming controversies sparking debates among fans?","",""
"INFO","How are international trade agreements affecting global economies?","",""
"IMAGE","Reverberations of love in the heart's melody.","",""
"MATHS","Find the inverse of the matrix: [[2, 3, -1], [1, 4, 2], [3, 2, 0]].","",""
"IMAGE","A bustling city street with colorful storefronts and bustling crowds.","",""
"INFO","What is the chemical formula for table salt?","",""
"MATHS","magnitude of a vector","",""
"IMAGE","A rugged coastline is carved by crashing waves.","",""
"INFO","What are the best strategies for teaching students with behavioral disorders?","",""
"IMAGE","Ripple of hope in the sea of despair.","",""
"INFO","How to fix a hole in a plaster wall?","",""
"MATHS","system of linear equations","",""
"IMAGE","A classroom full of students eagerly raising their hands.","",""
"MATHS","Find the equation of a line parallel or perpendicular to a given line passing through a specific point.","",""
"MATHS","Laplace operator","",""
"INFO","What are some must-visit landmarks in Paris?","",""
"INFO","How does encryption work","",""
"IMAGE","A rainbow stretches across a clear blue sky.","",""
"IMAGE","Reverberations of love in the heart's chambers.","",""
"IMAGE","A majestic polar bear strides across the icy tundra, its thick fur protecting it from the bitter cold.","",""
"IMAGE","A serene alpine lake surrounded by snow-capped peaks.","",""
"IMAGE","A charming village square bustling with activity, surrounded by quaint shops and cafes.","",""
"INFO","How do e-readers and tablets impact traditional publishing and reading habits?","",""
"INFO","What are the signs of gluten intolerance?","",""
"INFO","What are the advantages of project-based learning?","",""
"IMAGE","Modern twists on traditional phulkari embroidery techniques.","",""
"INFO","How do you market a new video game","",""
"INFO","Which athletes are dominating their respective sports this season?","",""
"IMAGE","Sand dunes stretch as far as the eye can see in a desert landscape.","",""
"MATHS","combinations","",""
"INFO","What are the challenges of regulating big tech companies?","",""
"INFO","Who is known as the inventor of the computer?","",""
"MATHS","Frequency domain","",""
"INFO","How does data mining work","",""
"INFO","What is the Sapir-Whorf hypothesis","",""
"MATHS","What is the complement of a graph?","",""
"IMAGE","A bowl of spicy kimchi soup made with fermented cabbage, tofu, and pork belly.","",""
"MATHS","Complex exponential","",""
"MATHS","Fourier domain convolution","",""
"INFO","How did the Great Fire of London in 1666 shape the city's future?","",""
"MATHS","Calculate the area of a regular pentagon with a side length of 8 units.","",""
"INFO","How to brew your own beer?","",""
"INFO","How do streaming platforms like Spotify and Apple Music influence music consumption?","",""
"MATHS","Time domain","",""
"INFO","What is the chemical formula for methane?","",""
"INFO","How do I approach asking for lettters of recommendation from teachers or mentors","",""
"INFO","Who were the freedom fighters of India, and what sacrifices did they make?","",""
"MATHS","Shooting Method","",""
"IMAGE","Federal architecture is prevalent in early American buildings, featuring symmetrical facades and decorative motifs.","",""
"INFO","What are the best travel destinations for history buffs?","",""
"MATHS","Convert ratios to equivalent ratios ","",""
"INFO","Create a thank you email template to send after the interview","",""
"MATHS","Determine if a given matrix represents a linear transformation.","",""
"IMAGE","Misty mornings in the countryside, with dew-covered grass and foggy hills.","",""
"MATHS","Find the volume of a cylinder if the area of its curved surface is 132 square centimeters and its height is 8 cm.","",""
"INFO","How are companies addressing labor rights in their supply chains?","",""
"MATHS","Initial value problem (IVP)","",""
"IMAGE","A peaceful countryside scene with rolling hills and grazing sheep.","",""
"IMAGE","A panoramic view from a mountaintop, overlooking valleys and distant peaks.","",""
"IMAGE","A pair of lovebirds grooming each other's feathers.","",""
"MATHS","probablity distribution","",""
"INFO","What causes dizziness?","",""
"IMAGE","A majestic centaur galloping across the plains.","",""
"MATHS","Find the determinant of the identity matrix.","",""
"MATHS","exact differential equation.","",""
"IMAGE","A student attending a lecture by a guest speaker.","",""
"MATHS","matrix multiplication","",""
"MATHS","Solve quadratic equations","",""
"IMAGE","Egyptian Revival architecture incorporates motifs and elements from ancient Egyptian design.","",""
"IMAGE","Organic architecture integrates buildings with their natural surroundings, often using natural materials and organic forms.","",""
"MATHS","Is 1440 divisible by 2, 3, 4, 5, and 6?","",""
"IMAGE","Trendy crop top lehenga sets for a youthful look.","",""
"MATHS","What is the empty set? Give an example.","",""
"MATHS","Calculate the slope of a line passing through two points.","",""
"INFO","How to avoid investment scams?","",""
"INFO","What is the study of earthquakes called?","",""
"MATHS","Explain the concept of a universal set.","",""
"INFO","What is the role of storytelling in video games","",""
"INFO","What are the best ways to invest in emerging market bonds?","",""
"INFO","What is the SI unit of power?","",""
"IMAGE","A refreshing caprese salad with slices of ripe tomatoes, fresh mozzarella cheese, and basil leaves.","",""
"INFO","What are some tips and tricks for mastering a challenging level or boss fight?","",""
"IMAGE","A quaint cottage covered in ivy and surrounded by blooming roses.","",""
"INFO","How do GPS systems work?","",""
"INFO","What are the symptoms of a urinary tract infection?","",""
"INFO","What is the Internet backbone","",""
"IMAGE","A graceful sylph floating on the breeze.","",""
"INFO","What are the best ways to invest in emerging market equities?","",""
"IMAGE","A playful impish grin and mischief in its eyes.","",""
"INFO","Create a multiple-choice question (MCQ) quiz to assess the understanding of","",""
"INFO","How to unclog a drain without chemicals?","",""
"INFO","What is the process by which organisms produce offspring called?","",""
"INFO","How do vaccines work in preventing diseases","",""
"MATHS","Explain the concept of a sample space ","",""
"INFO","What are some traditional dishes served during a Russian holiday celebration?","",""
"IMAGE","Reverberations of love in the heart's melody.","",""
"IMAGE","Reverberations of joy in the melody of life.","",""
"MATHS","Sketch the graph of a trigonometric function","",""
"INFO","What led to the partition of India in 1947?","",""
"INFO","How do smartwatches track sleep patterns?","",""
"INFO","Who was Emperor Akbar, and how did his policies contribute to the Mughal Empire?","",""
"IMAGE","Dance of colors in the palette of emotions.","",""
"MATHS","Define the concept of the adjacency matrix of a graph.","",""
"INFO","Some popular programming languages","",""
"INFO","What causes eye twitching?","",""
"IMAGE","Embrace of imperfections in the pursuit of perfection.","",""
"MATHS","Shift theorem","",""
